year,ottawa_temp,global_temp,city
1937,5.23,8.70,Ottawa
1938,4.81,8.86,Ottawa
1939,3.71,8.76,Ottawa
1940,3.49,8.76,Ottawa
1941,4.76,8.77,Ottawa
1942,4.80,8.73,Ottawa
1943,3.26,8.76,Ottawa
1944,4.63,8.85,Ottawa
1945,4.64,8.58,Ottawa
1946,4.78,8.68,Ottawa
1947,4.41,8.80,Ottawa
1948,4.84,8.75,Ottawa
1949,5.48,8.59,Ottawa
1950,4.13,8.37,Ottawa
1951,4.63,8.63,Ottawa
1952,5.36,8.64,Ottawa
1953,6.12,8.87,Ottawa
1954,4.26,8.56,Ottawa
1955,4.87,8.63,Ottawa
1956,3.86,8.28,Ottawa
1957,4.88,8.73,Ottawa
1958,3.90,8.77,Ottawa
1959,4.56,8.73,Ottawa
1960,4.83,8.58,Ottawa
1961,4.69,8.80,Ottawa
1962,3.84,8.75,Ottawa
1963,3.73,8.86,Ottawa
1964,4.82,8.41,Ottawa
1965,3.88,8.53,Ottawa
1966,4.62,8.60,Ottawa
1967,3.95,8.70,Ottawa
1968,4.24,8.52,Ottawa
1969,4.63,8.60,Ottawa
1970,3.98,8.70,Ottawa
1971,4.14,8.60,Ottawa
1972,3.33,8.50,Ottawa
1973,5.47,8.95,Ottawa
1974,3.92,8.47,Ottawa
1975,4.97,8.74,Ottawa
1976,3.48,8.35,Ottawa
1977,4.69,8.85,Ottawa
1978,3.60,8.69,Ottawa
1979,4.79,8.73,Ottawa
1980,3.70,8.98,Ottawa
1981,5.10,9.17,Ottawa
1982,4.16,8.64,Ottawa
1983,5.13,9.03,Ottawa
1984,4.88,8.69,Ottawa
1985,4.09,8.66,Ottawa
1986,4.50,8.83,Ottawa
1987,5.27,8.99,Ottawa
1988,4.84,9.20,Ottawa
1989,3.68,8.92,Ottawa
1990,5.57,9.23,Ottawa
1991,5.46,9.18,Ottawa
1992,3.69,8.84,Ottawa
1993,3.96,8.87,Ottawa
1994,4.06,9.04,Ottawa
1995,4.81,9.35,Ottawa
1996,4.66,9.04,Ottawa
1997,3.99,9.20,Ottawa
1998,6.68,9.52,Ottawa
1999,6.02,9.29,Ottawa
2000,4.61,9.20,Ottawa
2001,6.01,9.41,Ottawa
2002,5.47,9.57,Ottawa
2003,4.40,9.53,Ottawa
2004,4.46,9.32,Ottawa
2005,5.53,9.70,Ottawa
2006,6.30,9.53,Ottawa
2007,4.96,9.73,Ottawa
2008,5.01,9.43,Ottawa
2009,4.71,9.51,Ottawa
2010,6.73,9.70,Ottawa
2011,6.14,9.52,Ottawa
2012,6.59,9.51,Ottawa
2013,7.08,9.61,Ottawa
